#This file contains MissionEvent
#Date(DD-MM-YYYY),Name,Description,DurationTime,Exp,LevelMin,ParticipantsMax,SupportAbility,SynchRate,TacticalAbility,Image(Base64)
#27-12-2024,Example,This is an Example,5,100,5,3,25,30,25,(BASE64)

04-01-2025,Echoes of Despair,An Angel manipulates the emotional state of the citizenz causing mass panic. The pilots must restore order while fighting off the threat,6,200,3,3,32,37,42,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
05-01-2025,Shattered Peace,Tokyo-3 is attacked during a major power outage. Pilots must navigate the dark city and engage an Angel that is manipulating the electrical grid,5,160,2,3,30,35,40,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
06-01-2025,Epiphany of NERV,A secret mission during the Epiphany holiday. Pilots must infiltrate a SEELE lab to stop a dangerous experiment,7,250,4,3,40,45,50,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
07-01-2025,The Cold Awakening,A powerful Angel emerges in a frozen region. Pilots must battle it while overcoming the challenges posed by extreme cold and the harsh terrain,7,280,4,3,40,45,50,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
08-01-2025,Cracks in the Ice,The battle with an Angel leads to structural damage in the city. Pilots must hold off the Angel while assisting in rescue operations,6,220,3,3,35,40,45,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
09-01-2025,The Frozen War,An Angel utilizes ice-based attacks to disable the citys defenses. Pilots must engage it while protecting vital infrastructure,6,230,3,3,36,41,46,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
10-01-2025,Icebreaker,The Angel attacks by manipulating the water supply. Pilots must fight in the freezing waters of the Tokyo-3 river while stopping the Angels plans,5,200,2,3,30,35,40,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
11-01-2025,Echoes of War,An Angel makes a strategic move forcing the pilots to confront it in a flooded district. The missions success depends on fast action,7,250,3,3,35,40,45,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
12-01-2025,Frostbound,An Angel manipulates the freezing temperatures to disable power stations. Pilots must fight through ice storms to prevent a city-wide blackout,6,220,3,3,30,35,40,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
13-01-2025,The Bitter Cold,An Angel creates a cold zone that affects both human and Eva units. Pilots must fight against time to eliminate the threat,6,240,4,3,37,42,47,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
14-01-2025,Cold Reign,During a brutal snowstorm an Angel attempts to freeze NERVs defenses. Pilots must race against the storm to prevent a catastrophic loss,7,260,4,3,38,43,48,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
15-01-2025,Shards of Ice,An Angel hides in a mountain region making it difficult to detect. Pilots must use all available resources to locate and eliminate it,6,220,3,3,35,40,45,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
16-01-2025,Winters Wrath,A series of coordinated attacks by Angels leaves the city in a state of chaos. Pilots must restore order while dealing with the harsh winter conditions,6,250,3,3,36,41,46,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
17-01-2025,Frozen Tactics,An Angel manipulates frozen weapons that can destroy the pilots Evas. The mission becomes a battle of tactical ingenuity to outsmart the enemy,7,270,4,3,39,44,49,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
18-01-2025,Subzero Attack,An Angel freezes all mechanical systems in Tokyo-3. Pilots must engage in hand-to-hand combat while trying to restore power,6,240,3,3,38,43,48,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
19-01-2025,Frostfire,An Angel combines fire and ice-based attacks to overwhelm Tokyo-3s defenses. Pilots must adapt to new combat conditions to survive,7,280,4,3,40,45,50,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
20-01-2025,Shattered Ice,An Angels influence causes ice to shatter across the city. Pilots must work together to contain the threat and prevent total destruction,6,250,3,3,40,45,50,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
21-01-2025,Blizzard Fury,An Angel attacks during the worst snowstorm Tokyo-3 has ever seen. Pilots must track and neutralize it while navigating the blizzard,7,300,4,3,42,47,52,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
22-01-2025,Heart of Ice,An Angel feeds off the frozen hearts of the population causing emotional turmoil. Pilots must resist its influence and fight back,6,270,3,3,40,45,50,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
23-01-2025,Storm of the North,An Angel summons an ice storm over the northern region of Tokyo-3. Pilots must fight through blizzards and mountains to defeat it,7,290,4,3,43,48,53,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
24-01-2025,Winters End,The final battle against a colossal Angel that has frozen the city. Pilots must prepare for the ultimate confrontation as time runs out,8,350,5,3,45,50,55,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
25-01-2025,The Last Frost,An Angel threatens the last standing power plant. Pilots must eliminate it before the entire city goes dark,7,320,4,3,45,50,55,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
26-01-2025,Frozen Path,An Angel hides in a glacier and manipulates the landscape. Pilots must navigate the dangerous ice caverns to find and destroy it,6,280,3,3,42,47,52,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
27-01-2025,Cold Shadows,An Angel manipulates shadows within the citys frozen districts. Pilots must fight against the shifting environment and neutralize the threat,7,310,4,3,46,51,56,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
28-01-2025,Shards of Frost,An Angel shatters the infrastructure of Tokyo-3 causing the city to fall into chaos. Pilots must protect key locations while engaging the enemy,7,320,4,3,47,52,57,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
29-01-2025,Frozen Heart,An Angels presence causes the Evas to malfunction requiring pilots to rely on their instincts to stop it,6,300,4,3,50,55,60,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
30-01-2025,Winters Endgame,The final confrontation with the last of the winter-based Angels. Pilots must overcome all odds to save Tokyo-3 from total destruction,8,350,5,3,50,55,60,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=
31-01-2025,The Final Freeze,The ultimate battle against an Angel that threatens to encase Tokyo-3 in ice forever. Pilots must give everything to stop the looming catastrophe,9,400,5,3,55,60,65,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNk+A8AAQUBAScY42YAAAAASUVORK5CYII=

